City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,bhakkar,31.63,71.07,99.05,10,0,5.3,PK,1590518664
342,roald,62.58,6.13,55.0,87,75,18.34,NO,1590518664
343,coralville,41.68,-91.58,82.99,58,75,12.75,US,1590518665
344,egersund,58.45,6.0,52.0,87,75,8.05,NO,1590518665
345,homer,59.64,-151.55,51.8,57,40,10.29,US,1590518665
346,meiganga,6.52,14.3,68.59,92,100,5.57,CM,1590518666
347,constitucion,-35.33,-72.42,65.08,51,0,4.12,CL,1590518667
348,ostrovnoy,68.05,39.51,43.68,63,0,6.29,RU,1590518667
349,stephenville,32.22,-98.2,75.2,50,40,8.05,US,1590518668
350,quelimane,-17.88,36.89,78.8,83,42,9.17,MZ,1590518668
351,tsabong,-26.02,22.4,45.75,53,0,9.28,BW,1590518669
352,saldanha,-33.01,17.94,51.8,76,76,4.7,ZA,1590518669
353,cabo san lucas,22.89,-109.91,86.0,57,40,6.93,MX,1590518669
354,sorland,67.67,12.69,48.2,93,90,18.34,NO,1590518670
355,seoul,37.57,126.98,57.2,100,0,2.24,KR,1590518464
356,dudinka,69.41,86.18,32.0,89,75,20.13,RU,1590518671
357,ambilobe,-13.2,49.05,69.08,85,0,3.62,MG,1590518671
358,balkanabat,39.51,54.37,70.9,53,0,9.31,TM,1590518671
359,makat,47.65,53.35,78.31,42,0,8.7,KZ,1590518672
360,thohoyandou,-22.95,30.48,67.73,26,31,4.09,ZA,1590518672
361,te anau,-45.42,167.72,39.7,88,29,0.83,NZ,1590518673
362,sremski karlovci,45.2,19.93,53.6,100,19,6.93,RS,1590518673
363,pandan,14.05,124.17,79.2,85,8,6.08,PH,1590518674
364,kudahuvadhoo,2.67,72.89,83.44,79,93,11.63,MV,1590518674
365,hanumangarh,29.58,74.32,97.36,9,0,2.98,IN,1590518675
366,bardiyah,31.76,25.09,68.0,73,0,14.18,LY,1590518675
367,yelizovo,53.19,158.38,41.0,86,75,4.47,RU,1590518675
368,merauke,-8.47,140.33,77.43,86,99,12.1,ID,1590518676
369,canico,32.63,-16.85,71.6,68,20,5.82,PT,1590518676
